                        Natural Gas Pipeline Projects,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,Project Name,Pipeline Operator Name,Project Type,Status,Completed Date,Year In Service Date,State(s),Beg_State,End_State,Region(s),Beg_Region,End_Region,Thru_Region, Cost (millions) , Miles ,Additional Capacity (MMcf/d),Pipeline Diameter (Inches),Pipeline Type,Authority,Docket Number,Crosses State Border,Project Notes,Demand Served,Website
6/26/2009,NB Project 2000 MT-IA Segment,Northern Border Pipeline,Expansion,Completed,10/1/2001,2001,"SK,ND,SD,IA,MN,IA",SK,IA,"Canada, Mountain, Midwest",Canada,Midwest,Mountain,  1 ,,  1 ,"36,42",Interstate,FERC,CP99-21,,,,
6/26/2009,NCPL Sandhills Pipeline Project,Progress Energy Corp,New Pipeline,Completed,3/1/2001,2001,NC,NC,NC,Southeast,Southeast,Southeast,,  100 ,  84 ,  300 ,30,Intrastate,State,na,,,,
6/26/2009,NEGASCO Interconnect,Yankee Gas Services Co,Expansion,Completed,11/1/2004,2004,CT,CT,CT,Northeast,Northeast,Northeast,,  5 ,  9 ,  5 ,"8,12",Interstate,FERC,CP04-02,,,,
6/26/2009,Neptune LNG Lateral,Neptune LNG LLC,Lateral,Completed,10/15/2008,2008,MA,MA,MA,Northeast,Northeast,Northeast,,  23 ,  13 ,  750 ,24,Interstate,Coast Guard,na,,,,
11/27/2020,New Lisbon 2020 Expansion Project,Northern Natural Gas Co,Expansion,Completed,10/29/2020,2020,WI,WI,WI,Midwest,Midwest,Midwest,,  25 ,  7 ,15,8,Interstate,FERC,CP20-17,No,Looping and new compression to increase deliverability in WI,"LDC, Industrial",
11/29/2017,New Market Project,Dominion Transmission,Expansion,Completed,11/1/2017,2017,"PA,NY",PA,NY,Northeast,Northeast,Northeast,,  159 ,  -   ,  112 ,,Interstate,FERC,CP14-497,Yes,,,
11/29/2017,New York Bay Expansion Project,Transcontinental Gas Pipeline,Expansion,Completed,10/6/2017,2017,"PA,NJ,NY",PA,NY,Northeast,Northeast,Northeast,,  112 ,,115,, Interstate ,FERC,CP15-527,Yes,,,
10/10/2018,NEXUS Gas Transmission,Spectra Energy,New Pipeline,Completed,10/10/2018,2018,"OH,MI",OH,MI,"Northeast, Midwest",Northeast,Midwest,,"  2,000 ",  255 ,"  1,500 ",36,interstate,FERC,CP16-22,Yes,,,
6/26/2009,NFGS AM-60 Line Upgrade,National Fuel Gas Supply Corp,Expansion,Completed,11/1/2000,2000,PA,PA,PA,Northeast,Northeast,Northeast,,  11 ,,  35 ,20,Interstate,FERC,CP00-91,,,,
6/26/2009,NFGS Ellisburg to Leidy Expansion,National Fuel Gas Supply Corp,Expansion,Completed,9/1/1999,1999,PA,PA,PA,Northeast,Northeast,Northeast,,  0 ,,  59 ,,Interstate,FERC,CP99-160,,,,
2/14/2011,NFGS Line N Projects,National Fuel Gas Supply Corp,Expansion,Completed,10/19/2011,2011,PA,PA,PA,Northeast,Northeast,Northeast,,  56 ,  18 ,  150 ,20,Interstate,FERC,CP10-457,,,,
6/26/2009,NFGS Niagara Expansion Phase I,National Fuel Gas Supply Corp,New Pipeline,Completed,11/1/1997,1997,"NY,PA",NY,PA,Northeast,Northeast,Northeast,,  6 ,  139 ,  25 ,,Interstate,FERC,CP96-545,,,,
6/26/2009,NFGS Niagara Expansion Phase II,National Fuel Gas Supply Corp,Expansion,Completed,11/1/1998,1998,"NY,PA",NY,PA,Northeast,Northeast,Northeast,,  5 ,,  22 ,,Interstate,FERC,CP98-94,,,,
6/26/2009,NGPL A/G Cross Haul Expansion,Nat Gas P L Co of America,Expansion,Completed,4/30/2006,2006,OK,OK,OK,South Central,South Central,South Central,,  10 ,,  31 ,"30,36",Interstate,FERC,CP05-34,,,,
6/26/2009,NGPL A/G Line Expansion,Nat Gas P L Co of America,Expansion,Completed,12/31/2006,2006,TX,TX,TX,South Central,South Central,South Central,,  16 ,,  139 ,30,Interstate,FERC,na,,,,
6/26/2009,NGPL Alliance Interconnect,Nat Gas P L Co of America,Expansion,Completed,8/1/2000,2000,IL,IL,IL,Midwest,Midwest,Midwest,,  12 ,  1 ,"  1,600 ",36,Interstate,FERC,CP99-546,,,,
6/26/2009,NGPL Amarillo Line Expansion,Nat Gas P L Co of America,Expansion,Completed,11/1/1998,1998,"IA,IL",IA,IL,Midwest,Midwest,Midwest,,  15 ,,  110 ,36,Interstate,FERC,CP96-27,,,,
6/26/2009,NGPL Amarillo Upgrade,Nat Gas P L Co of America,Expansion,Completed,11/1/1998,1998,"OK,KS,TX,NE",OK,NE,"South Central, Mountain",South Central,Mountain,,  33 ,  14 ,  (25),"24,36",Interstate,FERC,CP94-577,,,,
6/26/2009,NGPL East St Louis Extension,Nat Gas P L Co of America,Expansion,Completed,9/1/2002,2002,IL,IL,IL,Midwest,Midwest,Midwest,,  37 ,  47 ,  300 ,24,Interstate,FERC,na,,,,
10/4/2018,NGPL Gulf Coast Southbound Phase I,Nat Gas P L Co of America,Reversal,Completed,10/4/2018,2018,"IL,MO,AR,TX",IL,TX,"Midwest, South Central",Midwest,South Central,,  149 ,,  460 ,,Interstate,FERC,CP16-488,Yes,"Phase 1 completed; however, no indication of east-west flows according to Genscape.  Remains ""under construction""",,
3/19/2021,NGPL Gulf Coast Southbound Project (Phase II),Nat Gas P L Co of America,Reversal,Completed,3/1/2021,2021,"IL,MO,AR,TX",IL,TX,"Midwest, South Central",Midwest,South Central,,  176 ,,300,,Interstate,FERC,CP19-99,Yes,3 new compressor stations to increase southbound capacity from Alliance receipt point in IL to Corpus Christi LNG in TX,LNG,
6/26/2009,NGPL Indian Basin Expansion,Nat Gas P L Co of America,Expansion,Completed,1/31/2002,2002,NM,NM,NM,Mountain,Mountain,Mountain,,  1 ,,  60 ,20,Interstate,FERC,na,,,,
6/26/2009,NGPL Louisiana/Gulf Coast Line Expansion,Nat Gas P L Co of America,Expansion,Completed,2/14/2008,2008,"TX,LA",TX,LA,South Central,South Central,South Central,,  69 ,  5 ,  200 ,36,Interstate,FERC,CP07-03,,,,
6/26/2009,NGPL North Lansing Loop,Nat Gas P L Co of America,Lateral,Completed,8/15/2007,2007,TX,TX,TX,South Central,South Central,South Central,,  10 ,8.7,140,  30 , Interstate ,FERC,CP05-405,,,,
6/26/2009,NGPL Segment One Expansion,Nat Gas P L Co of America,Expansion,Completed,4/15/2006,2006,"TX,OK",TX,OK,South Central,South Central,South Central,,  11 ,,20,  20 , Interstate ,FERC,CP05-34,,,,
8/14/2019,NGPL Waha Deliverability Expansion Project,Nat Gas P L Co of America,Reversal,On Hold,,,"IL,IA,NE,KS,OK,TX",IL,TX,"Midwest, South Central",Midwest,South Central,,,,465,,Interstate,FERC,,Yes,,,
10/4/2015,Niagara Expansion Project,Tennessee Gas Pipeline Co,Expansion,Completed,10/1/2015,2015,"NY,CN",NY,CN,#N/A,Northeast,#N/A,,  28 ,3.1,158,  30 , Interstate ,FERC,CP14-88,Yes,,,
6/26/2009,Niagara Mohawk Expansion,Niagara Mohawk Power Co,Lateral,Completed,11/1/2003,2003,NY,NY,NY,Northeast,Northeast,Northeast,,  2 ,  9 ,  200 ,24,Intrastate,State,na,,,,
12/28/2022,Niles Power Plant Meter Station Project,ANR Pipeline,Lateral,Completed,7/13/2022,2022,MI,MI,MI,Midwest,Midwest,Midwest,,,,,,Interstate,FERC,,No,Deliver natrual gas to Indeck Energy Service's 1000MW power plant,Electric,
6/26/2009,Ninilchik Pipeline,Kenai Kachemak Pipeline LLC,New Pipeline,Completed,10/1/2003,2003,AK,AK,AK,Pacific,Pacific,Pacific,,  25 ,  33 ,  120 ,12,Intrastate,State,na,,,,
11/6/2013,NJ-NY Project,Texas Eastern Transmission,Expansion,Completed,11/6/2013,2013,"NJ,NY",NJ,NY,Northeast,Northeast,Northeast,,"  1,200 ",  21 ,  800 ,"30,42",Interstate,FERC,CP11-56,,,,
6/26/2009,NNG 1999 Zone EF Expansion,Northern Natural Gas Co,Expansion,Completed,11/1/1999,1999,MN,MN,MN,Midwest,Midwest,Midwest,,  0 ,  6 ,50,,Interstate,FERC,CP99-532,,,,
6/26/2009,NNG Beatrice Station Expansion,Northern Natural Gas Co,Expansion,Completed,12/15/2002,2002,"NE,IA,MN",NE,MN,"Mountain, Midwest",Mountain,Midwest,,  0 ,,  90 ,24,Interstate,FERC,CP02-139,,,,
6/26/2009,NNG Bluff Creek/Tomah Expansion,Northern Natural Gas Co,Expansion,Completed,11/1/2005,2005,MN,MN,MN,Midwest,Midwest,Midwest,,  8 ,  3 ,  2 ,30,Interstate,FERC,CP05-49,,,,
6/26/2009,NNG East Leg I Expansion,Northern Natural Gas Co,Expansion,Completed,11/1/2008,2008,IA,IA,IA,Midwest,Midwest,Midwest,,  7 ,8,12.5," 6,8,30 ", Interstate ,FERC,CP08-95,,,,
6/26/2009,NNG Elk River Looping Expansion,Northern Natural Gas Co,Expansion,Completed,11/1/2001,2000,MN,MN,MN,Midwest,Midwest,Midwest,,  13 ,  15 ,  23 ,16,Interstate,FERC,CP99-191,,,,
6/26/2009,NNG IA- IL Expansion,Northern Natural Gas Co,Expansion,Completed,11/1/1996,1996,"IA,IL",IA,IL,Midwest,Midwest,Midwest,,,,  35 ,"20,30",Interstate,FERC,na,,,,
6/26/2009,NNG Line C&D Line Expansion,Northern Natural Gas Co,Lateral,Completed,10/19/2001,2001,MN,MN,MN,Midwest,Midwest,Midwest,,  8 ,  6 ,  40 ,30,Interstate,FERC,CP98-132,,,,
2/15/2011,NNG Northern Lights 2010 Zone EF Expansion,Northern Natural Gas Co,Expansion,Completed,11/1/2010,2010,MN,MN,MN,Midwest,Midwest,Midwest,,  43 ,  10 ,  135 ,16,Interstate,FERC,CP09-11,,,,
6/26/2009,NNG Northern Lights Project,Northern Natural Gas Co,Expansion,Completed,10/31/2007,2007,"IA,MN",IA,MN,Midwest,Midwest,Midwest,,  129 ,79,374.23," 16,26,36 ", Interstate ,FERC,CP06-403,,,,
6/26/2009,NNG Palmyra North Expansion,Northern Natural Gas Co,Expansion,Completed,10/31/2007,2007,"KS,SD,NE,IA",KS,IA,"South Central, Mountain, Midwest",South Central,Midwest,Mountain,  9 ,6,44.2,, Interstate ,FERC,CP06-433,,,,
6/26/2009,NNG Peak Day 2000 Expansion I,Northern Natural Gas Co,Expansion,Completed,11/1/1997,1997,"KS,NE,IA,MN,WI",KS,WI,"South Central, Mountain, Midwest",South Central,Midwest,Mountain,  102 ,  39 ,  244 ,,Interstate,FERC,CP97-27,,,,
6/26/2009,NNG Peak Day 2000 Expansion II,Northern Natural Gas Co,Expansion,Completed,11/15/1998,1998,MN,MN,MN,Midwest,Midwest,Midwest,,  20 ,  5 ,  32 ,,Interstate,FERC,CP97-27,,,,
6/26/2009,NNG Peak Day 2000 III,Northern Natural Gas Co,Expansion,Completed,11/1/1999,1999,MN,MN,MN,Midwest,Midwest,Midwest,,  1 ,,  31 ,,Interstate,FERC,CP97-25,,,,
6/26/2009,NNG Peak Day 2000 IV,Northern Natural Gas Co,Expansion,Completed,11/1/2001,2000,MN,MN,MN,Midwest,Midwest,Midwest,,  1 ,,  21 ,,Interstate,FERC,CP97-25,,,,
6/26/2009,NNG Peak Day 2000 V,Northern Natural Gas Co,Expansion,Completed,7/15/2001,2001,MN,MN,MN,Midwest,Midwest,Midwest,,  2 ,  15 ,  20 ,16,Interstate,FERC,CP97-25,,,,
6/26/2009,NNG Pleasant Hill Project,Northern Natural Gas Co,Lateral,Completed,11/1/2004,2004,IA,IA,IA,Midwest,Midwest,Midwest,,  4 ,  3 ,  96 ,16,Interstate,FERC,CP04-28,,,,
6/26/2009,NNG Project MAX Expansion,Northern Natural Gas Co,Expansion,Completed,11/1/2003,2003,MN,MN,MN,Midwest,Midwest,Midwest,,  6 ,  5 ,  34 ,8,Interstate,FERC,CP02-436,,,,
6/26/2009,NNG West Leg II Expansion,Northern Natural Gas Co,Expansion,Completed,11/1/2008,2008,NE,NE,NE,Mountain,Mountain,Mountain,,  9 ,  12 ,  11 ,"8,30",Interstate,FERC,CP08-97,,,,
6/26/2009,NNG Zone EF Expansion,Northern Natural Gas Co,Expansion,Completed,11/1/1996,1996,MN,MN,MN,Midwest,Midwest,Midwest,,  19 ,  30 ,  46 ,"20,30",Interstate,FERC,CP96-57,,,,
6/7/2013,Norte Crossing Project,El Paso Natural Gas,New Pipeline,Completed,6/7/2013,2013,"TX,MX",TX,MX,"South Central, Mexico",South Central,Mexico,,,0.28,366,  36 , Interstate ,FERC,CP12-96,Yes,,,
3/15/2011,North and South Expansion Project,Central New York Oil & Gas,Expansion,Completed,11/1/2011,2011,"PA,NY",PA,NY,Northeast,Northeast,Northeast,,  -   ,0,325,, Interstate ,FERC,CP10-194,,,,
6/26/2009,North Baja Pipeline Expansion Phase I,North Baja Pipeline LLC,Expansion,Completed,3/15/2008,2007,"MX,CA,AZ",MX,AZ,"Mexico, Mountain",Mexico,Mountain,,  4 ,2,614," 42,48 ", Interstate ,FERC,CP06-61,,,,
6/26/2009,North Baja Pipeline Proj (US Portion),North Baja Pipeline LLC,New Pipeline,Completed,10/1/2002,2002,"AZ,CA,MX",AZ,MX,"Mountain, Pacific, Mexico",Mountain,Mexico,Pacific,  156 ,  80 ,  500 ,"30,36",Interstate,FERC,CP01-22/24/25,,,,
7/6/2023,North Baja Xpress Project ,TC Energy ,Expansion,Completed,5/25/2023,2023,"AZ,CA,MX",AZ,MX,"Mountain, Pacific, Mexico",Mountain,Mexico,Pacific,  127 ,,495,,Interstate,FERC,CP20-27,Yes,Expansion on entire North Baja line; designed to deliver feedstock to Energia Costa Azul LNG export plant,LNG,https://www.tcenergy.com/operations/natural-gas/north-baja-xpress-project/
7/8/2010,North Baja Yuma Lateral,North Baja Pipeline LLC,Lateral,Completed,3/13/2010,2010,"MX,AZ",MX,AZ,"Mexico, Mountain",Mexico,Mountain,,  15 ,3.27,81.25,  12 , Interstate ,FERC,CP08-152,,,,
1/28/2022,North Bakken Expansion Project,MDU Resources Group,New Pipeline,Completed,1/26/2022,2022,ND,ND,ND,Mountain,Mountain,Mountain,,  261 ,  62.0 ,245,20,Interstate,FERC,CP20-52,No,Bakken takeaway capacity to new markets in ND;connnect WBI system to Northern Border pipeline,LDC,https://www.wbienergy.com/docs/default-source/north-bakken-expansion-project/north-bakken-handout.pdf?sfvrsn=0
6/14/2012,North Elko Pipeline Project,Prospector Pipeline,Lateral,Completed,12/1/2013,2013,NV,NV,NV,Mountain,Mountain,Mountain,,,  24 ,,12,Intrastate,State,na,,,,
3/7/2011,North Fork Pipeline,Anchor Point Energy LLC,New Pipeline,Completed,4/7/2011,2011,AK,AK,AK,Pacific,Pacific,Pacific,,,7.4,48.685,, Intrastate ,State,na,,,,
6/26/2009,North LA Growth Project,Regency Intrastate Pipeline Co,Expansion,Completed,6/1/2007,2007,LA,LA,LA,South Central,South Central,South Central,,  17 ,,200,, Intrastate ,State,na,,,,
6/24/2019,North Mist Expansion Project,Northwest Natural Gas Co,New Pipeline,Completed,5/31/2019,2019,OR,OR,OR,Pacific,Pacific,Pacific,,  128 ,13.00,120,24,Intrastate,,,No,Improve gas delliverability from storage to Portland General Electric power plants to balance renewable generation,Electric,
1/2/2013,North Seattle Delivery Lateral Expansion,Puget Sound Energy,Lateral,Completed,11/1/2012,2012,WA,WA,WA,Pacific,Pacific,Pacific,,,  2 ,  84 ,20,Interstate,FERC,CP11-520,,,,
11/22/2019,North Seattle Lateral Upgrade Project,Northwest Pipeline Co,Expansion,Completed,11/14/2019,2019,WA,WA,WA,Pacific,Pacific,Pacific,,  47 ,7.00,159,8, Intrastate ,FERC,CP17-441,No,Increase deliverability to LDCs in Seattle region,LDC,http://co.williams.com/expansionprojects/north-seattle-lateral-upgrade-project/ 
6/26/2009,North Side Loop (NSL) East Side,Atmos Energy Inc,New Pipeline,Completed,10/1/2006,2006,TX,TX,TX,South Central,South Central,South Central,,  25 ,  25 ,  225 ,30,Intrastate,State,na,,,,
6/26/2009,North Side Loop (NSL) West Side,Atmos Energy Inc,New Pipeline,Completed,5/1/2005,2005,TX,TX,TX,South Central,South Central,South Central,,  24 ,  22 ,  225 ,30,Intrastate,State,na,,,,
2/21/2019,North Texas Pipeline Expansion/Old Ocean Pipeline,"Enterprise, Energy Transfer Partners",Expansion,Completed,1/15/2019,2019,TX,TX,TX,South Central,South Central,South Central,,,,150,"24,36",Intrastate,Texas RRC,na,No,"Service will be resumed on Old Ocean Pipeline (160 MMcf/d) from Dallas to Gulf Coast (done 2Q 2018); expansion on North Texas pipeline to provide Permian takeaway capacity, filling Old Ocean (expected 4Q2018)",,http://ir.energytransfer.com/phoenix.zhtml?c=106094&p=RssLanding&cat=news&id=2347076 
6/26/2009,NorthCoast Gas Trans Compression Addition,Somerset Gas Transmission Inc,Expansion,Completed,5/1/2003,2003,OH,OH,OH,Northeast,Northeast,Northeast,,  2 ,,  42 ,12,Intrastate,State,na,,,,
3/6/2013,Northeast Connector,Transcontinental Gas Pipeline,Expansion,Completed,11/7/2014,2014,"PA,NJ,NY",PA,NY,Northeast,Northeast,Northeast,,  49 ,,  100 ,,Interstate,FERC,CP13-132,,,,
6/26/2009,Northeast ConneXion-New England,Tennessee Gas Pipeline Co,Expansion,Completed,11/1/2007,2007,"NY,MA",NY,MA,Northeast,Northeast,Northeast,,  111 ,,136,  24 , Interstate ,FERC,CP05-412,,,,
6/26/2009,Northeast ConneXion-NY/NJ,Tennessee Gas Pipeline Co,Expansion,Completed,11/16/2006,2006,"PA,NJ",PA,NJ,Northeast,Northeast,Northeast,,  39 ,6,101,  30 , Interstate ,FERC,CP05-355,,,,
4/9/2018,Northeast Energy Direct,Tennessee Gas Pipeline Co,New Pipeline,Cancelled,,,"PA,NY,MA",PA,MA,Northeast,Northeast,Northeast,,"  3,300 ",340.00,"1,300",  36 , Interstate ,FERC,CP16-21,Yes,,,
11/2/2012,Northeast Expansion Project,Dominion Transmission,Expansion,Completed,10/31/2012,2012,PA,PA,PA,Northeast,Northeast,Northeast,,  97 ,,200,, Interstate ,FERC,CP11-39,,,,
10/16/2012,Northeast Supply Diversification Project,Tennessee Gas Pipeline Co,Expansion,Completed,10/19/2012,2012,"PA,NY",PA,NY,Northeast,Northeast,Northeast,,  100 ,7,250,  30 , Interstate ,FERC,CP11-30,,,,
5/19/2020,Northeast Supply Enhancement Project,Transcontinental Gas Pipeline,New Pipeline,Cancelled,,na,"PA,NJ,NY",PA,NY,Northeast,Northeast,Northeast,,  927 ,  37 ,400,42,Interstate,FERC,CP17-101,Yes,"Williams cancelled after NY, NJ deny permits",,
9/14/2013,Northeast Supply Link Project,Transcontinental Gas Pipeline,Expansion,Completed,10/28/2013,2013,"PA,NJ",PA,NJ,Northeast,Northeast,Northeast,,  390 ,12.5,250," 36,42 ", Interstate ,FERC,CP12-30,,,,
12/9/2013,Northeast Upgrade Project,Tennessee Gas Pipeline Co,Expansion,Completed,12/5/2013,2013,"PA,NJ",PA,NJ,Northeast,Northeast,Northeast,,  500 ,  40 ,  636 ,24,Interstate,FERC,CP11-161,,,,
4/14/2011,Northeastern Tennessee Project,East Tennessee Nat Gas Co,Lateral,Completed,8/31/2011,2011,"VA,TN",VA,TN,"Northeast, Midwest",Northeast,Midwest,,  135 ,28,150,  24 , Interstate ,FERC,CP10-89,,,,
12/4/2015,Northern Access 2015 Project,National Fuel Gas Supply Corp,Expansion,Completed,12/3/2015,2015,NY,NY,NY,Northeast,Northeast,Northeast,,  66 ,,  140 ,,Interstate,FERC,CP14-100,No,,,
11/2/2012,Northern Access Expansion Project,National Fuel Gas Supply Corp,Expansion,Completed,10/31/2012,2012,"PA,NY",PA,NY,Northeast,Northeast,Northeast,,  80 ,  -   ,  320 ,,Interstate,Ferc,CP11-128,,,,
6/26/2009,Northern Border Chicago Expansion III,Northern Border Pipeline,Expansion,Completed,5/1/2006,2006,"IA,IL,IN",IA,IN,Midwest,Midwest,Midwest,,  21 ,,  130 ,,Interstate,FERC,CP05-88,,,,
3/11/2010,Northern Border Des Plaines Project,Northern Border Pipeline,Expansion,Completed,3/5/2009,2009,"IL,IA",IL,IA,Midwest,Midwest,Midwest,,  17 ,,,,Interstate,FERC,CP08-72,,,,
6/26/2009,Northern Border Harper Extension,Northern Border Pipeline,Expansion,Completed,12/22/1998,1998,IA,IA,IA,Midwest,Midwest,Midwest,,,  142 ,  260 ,,Interstate,FERC,CP95-194-000,,,,
6/26/2009,Northern Border Manhattan Extn,Northern Border Pipeline,Expansion,Completed,12/22/1998,1998,"IA,IL",IA,IL,Midwest,Midwest,Midwest,,,  200 ,650,30,Interstate,FERC,CP95-194-001,,,,
6/26/2009,Northern Border Monchy Expansion,Northern Border Pipeline,Expansion,Completed,12/22/1998,1998,"SK,MN,SD,IA",SK,IA,"Canada, Mountain, Midwest",Canada,Midwest,Mountain,  870 ,  243 ,  700 ,"36,42",Interstate,FERC,CP95-194-003,,,,
6/26/2009,Northern Columbus Last Phase,Columbia Gas of Ohio,Expansion,Completed,6/27/2006,2006,OH,OH,OH,Northeast,Northeast,Northeast,,  41 ,24,100," 12,20,24 ", Intrastate ,State,na,,,,
7/1/2020,Northern Delaware Basin Expansion Project,El Paso Natural Gas,Expansion,Completed,2/1/2020,2020,TX,TX,TX,South Central,South Central,South Central,,  33 ,  14 ,320,  24 , Interstate ,FERC,CP19-28,No,Expand takeaway capacity from Delaware Basin,,
1/24/2018,Northern Lights 2017 Expansion,Northern Natural Gas Co,Expansion,Completed,11/1/2017,2017,NM,NM,NM,Mountain,Mountain,Mountain,,  44 ,  5 ,  76 ,"8,12",Interstate,FERC,CP16-472,No,,,
6/26/2020,Northern Lights 2019,Northern Natural Gas Co,New Pipeline,Completed,10/18/2019,2019,MN,MN,MN,Midwest,Midwest,Midwest,,  158 ,18.80,101,"24,36",Interstate,FERC,CP18-534,No,,,http://www.northernnaturalgas.com/expansionprojects/Pages/NorthernLights2019-Rochester.aspx 
12/28/2022,Northern Lights 2021 Expansion,Northern Natural Gas Co,Expansion,Completed,12/13/2022,2022,MN,MN,MN,Midwest,Midwest,Midwest,,  57 ,  21.6 ,46,"12,24",Interstate,FERC,PF20-1/CP20-503,No,"New looping, extension of existing lines, and new compressor station/modification to existing compressor",,https://www.northernnaturalgas.com/expansionprojects/Pages/NorthernLights2021.aspx
6/26/2009,Northern Louisiana Expansion (Winnsboro Ext),Regency Intrastate Pipeline Co,Expansion,Completed,12/15/2005,2005,LA,LA,LA,South Central,South Central,South Central,,  157 ,  120 ,  615 ,"24,30",Intrastate,State,na,,,,
11/29/2017,Northern Supply Access Project,Texas Gas Transmission,Reversal,Completed,3/2/2017,2017,"OH,IN,KY,TN,MS,LA",OH,LA,"Northeast, Midwest, South Central",Northeast,South Central,Midwest,  230 ,,  284 ,,Interstate,FERC,CP15-513,Yes,,,
1/24/2018,North-South Project,Southern California Gas Co,New Pipeline,Denied,,,CA,CA,CA,Pacific,Pacific,Pacific,,  621 ,63.00,300,,Intrastate,CPUC,na,No,,,
12/1/2015,Nueces Crossover Pipeline,Energy Transfer Partners LP,Expansion,Completed,12/15/2014,2014,TX,TX,TX,South Central,South Central,South Central,,  114 ,  51 ,  800 ,,,na,,,,,
6/26/2009,NWPL Capacity Replacement Project,Northwest Pipeline Co,Expansion,Completed,12/1/2006,2006,WA,WA,WA,Pacific,Pacific,Pacific,,  333 ,80,360," 26,34 ", Interstate ,FERC,CP05-32,,,,
3/11/2010,NWPL Colorado Hub Connection Project (CHC),Northwest Pipeline Co,Expansion,Completed,11/10/2009,2009,CO,CO,CO,Mountain,Mountain,Mountain,,  60 ,  27 ,  582 ,24,Interstate,FERC,CP08-477,,,,
6/26/2009,NWPL Columbia River Gorge Expansion,Northwest Pipeline Co,Expansion,Completed,11/1/1999,1999,"OR,WA",OR,WA,Pacific,Pacific,Pacific,,  17 ,,  51 ,"26,30",Interstate,FERC,CP98-554,,,,
6/26/2009,NWPL Everett Delta Lateral,Northwest Pipeline Co,Expansion,Completed,11/1/2004,2004,WA,WA,WA,Pacific,Pacific,Pacific,,  25 ,  9 ,  113 ,16,Interstate,FERC,CP01-49,,,,
6/26/2009,NWPL Evergreen Expansion,Northwest Pipeline Co,Expansion,Completed,10/9/2003,2003,WA,WA,WA,Pacific,Pacific,Pacific,,  241 ,  26 ,  268 ,36,Interstate,FERC,CP02-04,,,,
6/26/2009,NWPL Gray Harbor,Northwest Pipeline Co,Lateral,Completed,11/30/2002,2002,WA,WA,WA,Pacific,Pacific,Pacific,,  124 ,  49 ,  160 ,20,Interstate,FERC,CP01-361,,,,
6/26/2009,NWPL Parachute Expansion,Northwest Pipeline Co,Expansion,Completed,5/15/2007,2007,CO,CO,CO,Mountain,Mountain,Mountain,,  58 ,38,450,  30 , Interstate ,FERC,CP06-45,,,,
6/26/2009,NWPL Ridges Basin Dam Project,Northwest Pipeline Co,Expansion,Completed,12/15/2003,2003,CO,CO,CO,Mountain,Mountain,Mountain,,  17 ,  7 ,,26,Interstate,FERC,CP02-423,,,,
6/26/2009,NWPL Rockies Expansion,Northwest Pipeline Co,Expansion,Completed,11/1/2003,2003,"WY,UT,ID,OR,WA",WY,WA,"Mountain, Pacific",Mountain,Pacific,,  139 ,  91 ,  175 ,"26,30",Interstate,FERC,CP01-438,,,,
7/29/2010,NWPL Sundance Trail Expansion,Northwest Pipeline Co,Expansion,Completed,11/1/2010,2010,"CO,UT,WY",CO,WY,Mountain,Mountain,Mountain,,  59 ,16,150,  30 , Interstate ,FERC,CP09-415,,,,
6/26/2009,NWPL White River Project,Northwest Pipeline Co,Expansion,Completed,6/7/2005,2005,WA,WA,WA,Pacific,Pacific,Pacific,,  29 ,  2 ,,"26,30",Interstate,FERC,CP03-32,,,,
6/21/2023,Oasis Pipeline Modernization Project ,Energy Transfer,Expansion,Completed,12/1/2022,2023,TX,TX,TX,South Central,South Central,South Central,,,  -   ,60,,Intrastate,TX RRC,,No,"Debottle necking and modernization of the Oasis Pipeline, increasing incremental capacity out of the Permian by 60 MMcf/d",,4Q22 Financial Results PR
7/8/2010,Odessa-Ector Power Pipeline,Aspen Pipeline LP,Lateral,Completed,1/1/2007,2007,TX,TX,TX,South Central,South Central,South Central,,  90 ,65,30,  20 , Intrastate ,State,na,,,,
12/17/2015,Ohio Pipeline Energy Network,Texas Eastern Transmission,Reversal,Completed,12/1/2015,2015,"OH,KY,TN,AL,MS,LA",OH,LA,"Northeast, Midwest, South Central",Northeast,South Central,Midwest,  468 ,76,550,  30 , Interstate ,FERC,CP14-68,Yes,,,
8/30/2016,Ohio Valley Connector,Equitrans,Expansion,Completed,10/1/2016,2016,"WV,OH",WV,OH,Northeast,Northeast,Northeast,,  415 ,  50 ,  850 ,"24,30",Interstate,FERC,CP15-41,Yes,,,
6/26/2009,Ohio Valley Hub Line,Ohio Valley Hub LLC,Lateral,Completed,11/1/2001,2001,IN,IN,IN,Midwest,Midwest,Midwest,,,  9 ,  62 ,16,Interstate,FERC,CP01-129,,,,
8/23/2016,Ohio-Louisiana Access project,Texas Gas Transmission,Reversal,Completed,5/27/2016,2016,"OH,IN,KY,TN,MS,LA",OH,LA,"Northeast, Midwest, South Central",Northeast,South Central,Midwest,  115 ,,  758 ,,Interstate,FERC,CP14-553,Yes,,,
8/7/2019,Okeechobee Lateral Project,Florida Southeast Connection LLC,Lateral,Completed,8/30/2018,2018,FL,FL,FL,Southeast,Southeast,Southeast,,  30 ,  5 ,400,20,Intrastate,FERC,CP17-463,No,Delivers natural gas to powerplant,Electric,https://www.floridasoutheastconnection.com/okeechobee-lateral-pipeline
